,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Number,NumberAssigned,NationalCode,AreaCode,Networkcode,SubscriberNumber,Golden,GW,SubscriberName
254207900718,No,254,20,790,0718,,,
254207900719,No,254,20,790,0719,,,
254207900720,No,254,20,790,0720,,,
254207900721,No,254,20,790,0721,,,
254207900722,No,254,20,790,0722,,,
254207900723,No,254,20,790,0723,,,
254207900724,No,254,20,790,0724,,,
254207900725,No,254,20,790,0725,,,
254207900726,No,254,20,790,0726,,,
254207900727,No,254,20,790,0727,,,
254207900728,No,254,20,790,0728,,,
254207900729,No,254,20,790,0729,,,
254207900730,No,254,20,790,0730,,,
254207900731,No,254,20,790,0731,,,
254207900733,No,254,20,790,0733,,,
254207900734,No,254,20,790,0734,,,
254207900735,No,254,20,790,0735,,,
254207900736,No,254,20,790,0736,,,
254207900737,No,254,20,790,0737,,,
254207900738,No,254,20,790,0738,,,
254207900739,No,254,20,790,0739,,,
254207900740,No,254,20,790,0740,,,
254207900741,No,254,20,790,0741,,,
254207900742,No,254,20,790,0742,,,
254207900743,No,254,20,790,0743,,,
254207900744,No,254,20,790,0744,,,
254207900745,No,254,20,790,0745,,,
254207900746,No,254,20,790,0746,,,
254207900747,No,254,20,790,0747,,,
254207900748,No,254,20,790,0748,,,
254207900749,No,254,20,790,0749,,,
254207900750,No,254,20,790,0750,,,
254207900751,No,254,20,790,0751,,,
254207900752,No,254,20,790,0752,,,
254207900753,No,254,20,790,0753,,,
254207900754,No,254,20,790,0754,,,
254207900755,No,254,20,790,0755,,,
254207900756,No,254,20,790,0756,,,
254207900757,No,254,20,790,0757,,,
254207900758,No,254,20,790,0758,,,
254207900759,No,254,20,790,0759,,,
254207900760,No,254,20,790,0760,,,
254207900761,No,254,20,790,0761,,,
254207900762,No,254,20,790,0762,,,
254207900763,No,254,20,790,0763,,,
254207900764,No,254,20,790,0764,,,
254207900765,No,254,20,790,0765,,,
254207900766,No,254,20,790,0766,,,
254207900767,No,254,20,790,0767,,,
254207900768,No,254,20,790,0768,,,
254207900769,No,254,20,790,0769,,,
254207900770,No,254,20,790,0770,,,
254207900771,No,254,20,790,0771,,,
254207900772,No,254,20,790,0772,,,
254207900773,No,254,20,790,0773,,,
254207900774,No,254,20,790,0774,,,
254207900775,No,254,20,790,0775,,,
254207900776,No,254,20,790,0776,,,
254207900778,No,254,20,790,0778,,,
254207900780,No,254,20,790,0780,,,
254207900781,No,254,20,790,0781,,,
254207900782,No,254,20,790,0782,,,
254207900783,No,254,20,790,0783,,,
254207900784,No,254,20,790,0784,,,
254207900785,No,254,20,790,0785,,,
254207900786,No,254,20,790,0786,,,
254207900787,No,254,20,790,0787,,,
254207900788,No,254,20,790,0788,,,
254207900789,No,254,20,790,0789,,,
254207900790,No,254,20,790,0790,Yes,,
254207900791,No,254,20,790,0791,,,
254207900792,No,254,20,790,0792,,,
254207900793,No,254,20,790,0793,,,
254207900794,No,254,20,790,0794,,,
254207900795,No,254,20,790,0795,,,
254207900796,No,254,20,790,0796,,,
254207900797,No,254,20,790,0797,,,
254207900798,No,254,20,790,0798,,,
254207900799,No,254,20,790,0799,,,
254207900801,No,254,20,790,0801,,,
254207900802,No,254,20,790,0802,,,
254207900803,No,254,20,790,0803,,,
254207900804,No,254,20,790,0804,,,
254207900805,No,254,20,790,0805,,,
254207900806,No,254,20,790,0806,,,
254207900807,No,254,20,790,0807,,,
254207900808,No,254,20,790,0808,,,
254207900809,No,254,20,790,0809,,,
254207900810,No,254,20,790,0810,,,
254207900811,No,254,20,790,0811,,,
254207900812,No,254,20,790,0812,,,
254207900813,No,254,20,790,0813,,,
254207900814,No,254,20,790,0814,,,
254207900815,No,254,20,790,0815,,,
254207900816,No,254,20,790,0816,,,
254207900817,No,254,20,790,0817,,,
254207900818,No,254,20,790,0818,,,
254207900819,No,254,20,790,0819,,,
254207900820,No,254,20,790,0820,,,
254207900821,No,254,20,790,0821,,,
254207900822,No,254,20,790,0822,,,
254207900823,No,254,20,790,0823,,,
254207900824,No,254,20,790,0824,,,
254207900825,No,254,20,790,0825,,,
254207900826,No,254,20,790,0826,,,
254207900827,No,254,20,790,0827,,,
254207900828,No,254,20,790,0828,,,
254207900829,No,254,20,790,0829,,,
254207900830,No,254,20,790,0830,,,
254207900831,No,254,20,790,0831,,,
254207900832,No,254,20,790,0832,,,
254207900833,No,254,20,790,0833,,,
254207900834,No,254,20,790,0834,,,
254207900835,No,254,20,790,0835,,,
254207900836,No,254,20,790,0836,,,
254207900837,No,254,20,790,0837,,,
254207900838,No,254,20,790,0838,,,
254207900839,No,254,20,790,0839,,,
254207900840,No,254,20,790,0840,,,
254207900841,No,254,20,790,0841,,,
254207900842,No,254,20,790,0842,,,
254207900843,No,254,20,790,0843,,,
254207900844,No,254,20,790,0844,,,
254207900845,No,254,20,790,0845,,,
254207900846,No,254,20,790,0846,,,
254207900847,No,254,20,790,0847,,,
254207900848,No,254,20,790,0848,,,
254207900849,No,254,20,790,0849,,,
254207900850,No,254,20,790,0850,,,
254207900851,No,254,20,790,0851,,,
254207900852,No,254,20,790,0852,,,
254207900853,No,254,20,790,0853,,,
254207900854,No,254,20,790,0854,,,
254207900855,No,254,20,790,0855,,,
254207900856,No,254,20,790,0856,,,
254207900857,No,254,20,790,0857,,,
254207900858,No,254,20,790,0858,,,
254207900859,No,254,20,790,0859,,,
254207900860,No,254,20,790,0860,,,
254207900861,No,254,20,790,0861,,,
254207900862,No,254,20,790,0862,,,
254207900863,No,254,20,790,0863,,,
254207900864,No,254,20,790,0864,,,
254207900865,No,254,20,790,0865,,,
254207900866,No,254,20,790,0866,,,
254207900867,No,254,20,790,0867,,,
254207900868,No,254,20,790,0868,,,
254207900869,No,254,20,790,0869,,,
254207900870,No,254,20,790,0870,,,
254207900871,No,254,20,790,0871,,,
254207900872,No,254,20,790,0872,,,
254207900873,No,254,20,790,0873,,,
254207900874,No,254,20,790,0874,,,
254207900875,No,254,20,790,0875,,,
254207900876,No,254,20,790,0876,,,
254207900877,No,254,20,790,0877,,,
254207900878,No,254,20,790,0878,,,
254207900879,No,254,20,790,0879,,,
254207900880,No,254,20,790,0880,,,
254207900881,No,254,20,790,0881,,,
254207900882,No,254,20,790,0882,,,
254207900883,No,254,20,790,0883,,,
254207900884,No,254,20,790,0884,,,
254207900885,No,254,20,790,0885,,,
254207900886,No,254,20,790,0886,,,
254207900887,No,254,20,790,0887,,,
254207900888,No,254,20,790,0888,,,
254207900889,No,254,20,790,0889,,,
254207900890,No,254,20,790,0890,,,
254207900891,No,254,20,790,0891,,,
254207900892,No,254,20,790,0892,,,
254207900893,No,254,20,790,0893,,,
254207900894,No,254,20,790,0894,,,
254207900895,No,254,20,790,0895,,,
254207900896,No,254,20,790,0896,,,
254207900897,No,254,20,790,0897,,,
254207900898,No,254,20,790,0898,,,
254207900899,No,254,20,790,0899,,,
254207900905,No,254,20,790,0905,,,
254207900906,No,254,20,790,0906,,,
254207900907,No,254,20,790,0907,,,
254207900908,No,254,20,790,0908,,,
254207900909,No,254,20,790,0909,,,
254207900910,No,254,20,790,0910,,,
254207900911,No,254,20,790,0911,,,
254207900912,No,254,20,790,0912,,,
254207900913,No,254,20,790,0913,,,
254207900914,No,254,20,790,0914,,,
254207900915,No,254,20,790,0915,,,
254207900916,No,254,20,790,0916,,,
254207900917,No,254,20,790,0917,,,
254207900918,No,254,20,790,0918,,,
254207900919,No,254,20,790,0919,,,
254207900940,No,254,20,790,0940,,,
254207900941,No,254,20,790,0941,,,
254207900942,No,254,20,790,0942,,,
254207900943,No,254,20,790,0943,,,
254207900944,No,254,20,790,0944,,,
254207900945,No,254,20,790,0945,,,
254207900946,No,254,20,790,0946,,,
254207900947,No,254,20,790,0947,,,
254207900948,No,254,20,790,0948,,,
254207900949,No,254,20,790,0949,,,
254207900950,No,254,20,790,0950,,,
254207900951,No,254,20,790,0951,,,
254207900952,No,254,20,790,0952,,,
254207900953,No,254,20,790,0953,,,
254207900954,No,254,20,790,0954,,,
254207900955,No,254,20,790,0955,,,
254207900956,No,254,20,790,0956,,,
254207900957,No,254,20,790,0957,,,
254207900958,No,254,20,790,0958,,,
254207900959,No,254,20,790,0959,,,
254207900960,No,254,20,790,0960,,,
254207900961,No,254,20,790,0961,,,
254207900962,No,254,20,790,0962,,,
254207900963,No,254,20,790,0963,,,
254207900964,No,254,20,790,0964,,,
254207900965,No,254,20,790,0965,,,
254207900966,No,254,20,790,0966,,,
254207900967,No,254,20,790,0967,,,
254207900968,No,254,20,790,0968,,,
254207900969,No,254,20,790,0969,,,
254207900970,No,254,20,790,0970,,,
254207900971,No,254,20,790,0971,,,
254207900972,No,254,20,790,0972,,,
254207900973,No,254,20,790,0973,,,
254207900974,No,254,20,790,0974,,,
254207900975,No,254,20,790,0975,,,
254207900976,No,254,20,790,0976,,,
254207900977,No,254,20,790,0977,,,
254207900978,No,254,20,790,0978,,,
254207900979,No,254,20,790,0979,,,
254207900980,No,254,20,790,0980,,,
254207900981,No,254,20,790,0981,,,
254207900982,No,254,20,790,0982,,,
254207900983,No,254,20,790,0983,,,
254207900984,No,254,20,790,0984,,,
254207900985,No,254,20,790,0985,,,
254207900986,No,254,20,790,0986,,,
254207900987,No,254,20,790,0987,,,
254207900988,No,254,20,790,0988,,,
254207900989,No,254,20,790,0989,,,
254207900990,No,254,20,790,0990,,,
254207900991,No,254,20,790,0991,,,
254207900992,No,254,20,790,0992,,,
254207900993,No,254,20,790,0993,,,
254207900994,No,254,20,790,0994,,,
254207900995,No,254,20,790,0995,,,
254207900996,No,254,20,790,0996,,,
254207900997,No,254,20,790,0997,,,
254207900998,No,254,20,790,0998,,,
254207900999,No,254,20,790,0999,,,
254207901000,,254,20,790,1000,,,
254207901001,,254,20,790,1001,,,
254207901002,,254,20,790,1002,,,
254207901003,,254,20,790,1003,,,
254207901004,,254,20,790,1004,,,
254207901005,,254,20,790,1005,,,
254207901006,,254,20,790,1006,,,
254207901007,,254,20,790,1007,,,
254207901008,,254,20,790,1008,,,
254207901009,,254,20,790,1009,,,
254207901010,,254,20,790,1010,,,
254207901011,,254,20,790,1011,,,
254207901012,,254,20,790,1012,,,
254207901013,,254,20,790,1013,,,
254207901014,,254,20,790,1014,,,
254207901015,,254,20,790,1015,,,
254207901016,,254,20,790,1016,,,
254207901017,,254,20,790,1017,,,
254207901018,,254,20,790,1018,,,
254207901019,,254,20,790,1019,,,
254207901020,,254,20,790,1020,,,
254207901021,,254,20,790,1021,,,
254207901022,,254,20,790,1022,,,
254207901023,,254,20,790,1023,,,
254207901024,,254,20,790,1024,,,
254207901025,,254,20,790,1025,,,
254207901026,,254,20,790,1026,,,
254207901027,,254,20,790,1027,,,
254207901028,,254,20,790,1028,,,
254207901029,,254,20,790,1029,,,
254207901030,,254,20,790,1030,,,
254207901031,,254,20,790,1031,,,
254207901032,,254,20,790,1032,,,
254207901033,,254,20,790,1033,,,
254207901034,,254,20,790,1034,,,
254207901035,,254,20,790,1035,,,
254207901036,,254,20,790,1036,,,
254207901037,,254,20,790,1037,,,
254207901038,,254,20,790,1038,,,
254207901039,,254,20,790,1039,,,
254207901040,,254,20,790,1040,,,
254207901041,,254,20,790,1041,,,
254207901042,,254,20,790,1042,,,
254207901043,,254,20,790,1043,,,
254207901044,,254,20,790,1044,,,
254207901045,,254,20,790,1045,,,
254207901046,,254,20,790,1046,,,
254207901047,,254,20,790,1047,,,
254207901048,,254,20,790,1048,,,
254207901049,,254,20,790,1049,,,
254207901050,,254,20,790,1050,,,
254207901051,,254,20,790,1051,,,
254207901052,,254,20,790,1052,,,
254207901053,,254,20,790,1053,,,
254207901054,,254,20,790,1054,,,
254207901055,,254,20,790,1055,,,
254207901056,,254,20,790,1056,,,
254207901057,,254,20,790,1057,,,
254207901058,,254,20,790,1058,,,
254207901059,,254,20,790,1059,,,
254207901060,,254,20,790,1060,,,
254207901061,,254,20,790,1061,,,
254207901062,,254,20,790,1062,,,
254207901063,,254,20,790,1063,,,
254207901064,,254,20,790,1064,,,
254207901065,,254,20,790,1065,,,
254207901066,,254,20,790,1066,,,
254207901067,,254,20,790,1067,,,
254207901068,,254,20,790,1068,,,
254207901069,,254,20,790,1069,,,
254207901070,,254,20,790,1070,,,
254207901071,,254,20,790,1071,,,
254207901072,,254,20,790,1072,,,
254207901073,,254,20,790,1073,,,
254207901074,,254,20,790,1074,,,
254207901075,,254,20,790,1075,,,
254207901076,,254,20,790,1076,,,
254207901077,,254,20,790,1077,,,
254207901078,,254,20,790,1078,,,
254207901079,,254,20,790,1079,,,
254207901080,,254,20,790,1080,,,
254207901081,,254,20,790,1081,,,
254207901082,,254,20,790,1082,,,
254207901083,,254,20,790,1083,,,
254207901084,,254,20,790,1084,,,
254207901085,,254,20,790,1085,,,
254207901086,,254,20,790,1086,,,
254207901087,,254,20,790,1087,,,
254207901088,,254,20,790,1088,,,
254207901089,,254,20,790,1089,,,
254207901090,,254,20,790,1090,,,
254207901091,,254,20,790,1091,,,
254207901092,,254,20,790,1092,,,
254207901093,,254,20,790,1093,,,
254207901094,,254,20,790,1094,,,
254207901095,,254,20,790,1095,,,
254207901096,,254,20,790,1096,,,
254207901097,,254,20,790,1097,,,
254207901098,,254,20,790,1098,,,
254207901099,,254,20,790,1099,,,
254207901100,,254,20,790,1100,,,
254207901101,,254,20,790,1101,,,
254207901102,,254,20,790,1102,,,
254207901103,,254,20,790,1103,,,
254207901104,,254,20,790,1104,,,
254207901105,,254,20,790,1105,,,
254207901106,,254,20,790,1106,,,
254207901107,,254,20,790,1107,,,
254207901108,,254,20,790,1108,,,
254207901109,,254,20,790,1109,,,
254207901110,,254,20,790,1110,,,
254207901112,,254,20,790,1112,,,
254207901113,,254,20,790,1113,,,
254207901114,,254,20,790,1114,,,
254207901115,,254,20,790,1115,,,
254207901116,,254,20,790,1116,,,
254207901117,,254,20,790,1117,,,
254207901118,,254,20,790,1118,,,
254207901119,,254,20,790,1119,,,
254207901120,,254,20,790,1120,,,
254207901121,,254,20,790,1121,,,
254207901122,,254,20,790,1122,,,
254207901123,,254,20,790,1123,,,
254207901124,,254,20,790,1124,,,
254207901125,,254,20,790,1125,,,
254207901126,,254,20,790,1126,,,
254207901127,,254,20,790,1127,,,
254207901128,,254,20,790,1128,,,
254207901129,,254,20,790,1129,,,
254207901130,,254,20,790,1130,,,
254207901131,,254,20,790,1131,,,
254207901132,,254,20,790,1132,,,
254207901133,,254,20,790,1133,,,
254207901134,,254,20,790,1134,,,
254207901135,,254,20,790,1135,,,
254207901136,,254,20,790,1136,,,
254207901137,,254,20,790,1137,,,
254207901138,,254,20,790,1138,,,
254207901139,,254,20,790,1139,,,
254207901140,,254,20,790,1140,,,
254207901141,,254,20,790,1141,,,
254207901142,,254,20,790,1142,,,
254207901143,,254,20,790,1143,,,
254207901144,,254,20,790,1144,,,
254207901145,,254,20,790,1145,,,
254207901146,,254,20,790,1146,,,
254207901147,,254,20,790,1147,,,
254207901148,,254,20,790,1148,,,
254207901149,,254,20,790,1149,,,
254207901150,,254,20,790,1150,,,
254207901151,,254,20,790,1151,,,
254207901152,,254,20,790,1152,,,
254207901153,,254,20,790,1153,,,
254207901154,,254,20,790,1154,,,
254207901155,,254,20,790,1155,,,
254207901156,,254,20,790,1156,,,
254207901157,,254,20,790,1157,,,
254207901158,,254,20,790,1158,,,
254207901159,,254,20,790,1159,,,
254207901160,,254,20,790,1160,,,
254207901161,,254,20,790,1161,,,
254207901162,,254,20,790,1162,,,
254207901163,,254,20,790,1163,,,
254207901164,,254,20,790,1164,,,
254207901165,,254,20,790,1165,,,
254207901166,,254,20,790,1166,,,
254207901167,,254,20,790,1167,,,
254207901168,,254,20,790,1168,,,
254207901169,,254,20,790,1169,,,
254207901170,,254,20,790,1170,,,
254207901171,,254,20,790,1171,,,
254207901172,,254,20,790,1172,,,
254207901173,,254,20,790,1173,,,
254207901174,,254,20,790,1174,,,
254207901175,,254,20,790,1175,,,
254207901176,,254,20,790,1176,,,
254207901177,,254,20,790,1177,,,
254207901178,,254,20,790,1178,,,
254207901179,,254,20,790,1179,,,
254207901180,,254,20,790,1180,,,
254207901181,,254,20,790,1181,,,
254207901182,,254,20,790,1182,,,
254207901183,,254,20,790,1183,,,
254207901184,,254,20,790,1184,,,
254207901185,,254,20,790,1185,,,
254207901186,,254,20,790,1186,,,
254207901187,,254,20,790,1187,,,
254207901188,,254,20,790,1188,,,
254207901189,,254,20,790,1189,,,
254207901190,,254,20,790,1190,,,
254207901191,,254,20,790,1191,,,
254207901192,,254,20,790,1192,,,
254207901193,,254,20,790,1193,,,
