,,,,,,,,
Number,NumberAssigned,NationalCode,AreaCode,Networkcode,SubscriberNumber,Golden,GW,SubscriberName
254207900256,Yes,254,20,790,0256,,,Cloud One
254207900257,Yes,254,20,790,0257,,,Cloud One
254207900258,Yes,254,20,790,0258,,,Cloud One
254207900259,Yes,254,20,790,0259,,,Cloud One
254207900260,Yes,254,20,790,0260,,,Cloud One
254207900261,Yes,254,20,790,0261,,,Cloud One
254207900262,Yes,254,20,790,0262,,,Cloud One
254207900263,Yes,254,20,790,0263,,,Cloud One
254207900264,Yes,254,20,790,0264,,,Cloud One
254207900265,Yes,254,20,790,0265,,,Cloud One
254207900266,Yes,254,20,790,0266,,,Cloud One
254207900267,Yes,254,20,790,0267,,,Cloud One
254207900268,Yes,254,20,790,0268,,,Cloud One
254207900269,Yes,254,20,790,0269,,,Cloud One
254207900270,Yes,254,20,790,0270,,,Cloud One
254207900271,Yes,254,20,790,0271,,,Cloud One
254207900272,Yes,254,20,790,0272,,,Cloud One
254207900273,Yes,254,20,790,0273,,,Cloud One
254207900274,Yes,254,20,790,0274,,,Cloud One
254207900275,Yes,254,20,790,0275,,,Cloud One
254207900276,Yes,254,20,790,0276,,,Cloud One
254207900277,Yes,254,20,790,0277,,,Cloud One
254207900278,Yes,254,20,790,0278,,,Cloud One
254207900279,Yes,254,20,790,0279,,,Cloud One
254207900280,Yes,254,20,790,0280,,,Cloud One
254207900281,Yes,254,20,790,0281,,,Cloud One
254207900282,Yes,254,20,790,0282,,,Cloud One
254207900283,Yes,254,20,790,0283,,,Cloud One
254207900284,Yes,254,20,790,0284,,,Cloud One
254207900285,Yes,254,20,790,0285,,,Cloud One
254207900286,Yes,254,20,790,0286,,,Cloud One
254207900287,Yes,254,20,790,0287,,,Cloud One
254207900288,Yes,254,20,790,0288,,,Cloud One
254207900289,Yes,254,20,790,0289,,,Cloud One
254207900290,No,254,20,790,0290,,,Cloud One
254207900291,Yes,254,20,790,0291,,,Cloud One
254207900292,Yes,254,20,790,0292,,,Cloud One
254207900293,Yes,254,20,790,0293,,,Cloud One
254207900294,Yes,254,20,790,0294,,,Cloud One
254207900295,Yes,254,20,790,0295,,,Cloud One
254207900296,Yes,254,20,790,0296,,,Cloud One
254207900297,Yes,254,20,790,0297,,,Cloud One
254207900298,Yes,254,20,790,0298,,,Cloud One
254207900299,Yes,254,20,790,0299,,,Cloud One
254207900300,Yes,254,20,790,0300,Yes,,Redstar Africa
254207900301,Yes,254,20,790,0301,,,redstar_20790_0300
254207900302,Yes,254,20,790,0302,,,redstar_20790_0300
254207900303,Yes,254,20,790,0303,,,finzoomke
254207900304,No,254,20,790,0304,,,
254207900305,No,254,20,790,0305,,,
254207900306,No,254,20,790,0306,,,
254207900307,No,254,20,790,0307,,,
254207900308,No,254,20,790,0308,,,
254207900309,No,254,20,790,0309,,,
254207900310,No,254,20,790,0310,,,
254207900311,No,254,20,790,0311,,,
254207900312,No,254,20,790,0312,,,
254207900313,No,254,20,790,0313,,,
254207900314,No,254,20,790,0314,,,
254207900315,No,254,20,790,0315,,,
254207900316,No,254,20,790,0316,,,
